index	score	id
1	16.750	CDKN2A
2	16.750	PTEN
3	15.750	EGFR
4	15.750	TP53
5	13.750	PIK3CA
6	13.250	RB1
7	12.250	NF1
8	11.750	MET
9	11.500	CDK4
10	11.250	ATM
11	11.000	PDGFRA
12	10.750	MDM2
13	10.250	APC
14	9.750	EP300
15	9.750	ERCC2
16	9.750	KRAS
17	9.750	PIK3CG
18	9.500	BRCA1
19	9.500	STK11
20	9.250	BRCA2
21	9.250	ERBB2
22	9.000	BRAF
23	9.000	FBXW7
24	8.750	MLH1
25	8.750	MSH2
26	8.750	SMAD4
27	8.500	CDKN2B
28	8.500	FGFR3
29	8.500	MSH6
30	8.500	PIK3CB
31	8.500	PIK3R1
32	8.250	ERCC3
33	8.250	JAK2
34	8.250	KIT
35	8.250	RET
36	8.000	AKT1
37	8.000	PLCG1
38	8.000	SMARCA4
39	7.750	CDH1
40	7.750	CDKN1A
41	7.750	DNMT1
42	7.750	ERBB3
43	7.750	NOTCH1
44	7.500	CCND2
45	7.500	MYC
46	7.500	NRAS
47	7.250	AKT2
48	7.250	CREBBP
49	7.250	NF2
50	7.250	NTRK1
51	7.250	PDGFRB
52	7.000	ABL1
53	7.000	CCND1
54	7.000	CDK6
55	7.000	HSP90AA1
56	7.000	TCF3
57	6.750	CTNNB1
58	6.750	FGFR1
59	6.750	FIGF
60	6.750	HRAS
61	6.750	NTRK3
62	6.750	WT1
63	6.500	CDC42
64	6.500	EXT1
65	6.500	FOXO3
66	6.500	MDM4
67	6.500	PMS2
68	6.500	RUNX1
69	6.500	VHL
70	6.500	WRN
71	6.250	ALK
72	6.250	AR
73	6.250	CDKN2C
74	6.250	CHEK1
75	6.250	CHEK2
76	6.250	ERCC5
77	6.250	FAS
78	6.250	FGFR2
79	6.250	HDAC1
80	6.250	KDR
81	6.250	NOS3
82	6.250	PTCH1
83	6.250	TERT
84	6.250	TSC2
85	6.000	BLM
86	6.000	CBL
87	6.000	COL1A1
88	6.000	EVI1
89	6.000	MAP2K4
90	6.000	PDGFB
91	6.000	SEPT9
92	6.000	TGFBR2
93	6.000	TRRAP
94	5.750	EGF
95	5.750	FLT3
96	5.750	GRB2
97	5.750	NCAM1
98	5.750	NOS2
99	5.500	BUB1B
100	5.500	CDKN1B
101	5.500	DIRAS3
102	5.500	DOT1L
103	5.500	EPHB1
104	5.500	EPHB6
105	5.500	GNAS
106	5.500	HIF1A
107	5.500	MRE11A
108	5.500	PRKDC
109	5.500	PTPN11
110	5.500	RAD50
111	5.500	RAD51
112	5.500	SPRY2
113	5.250	FANCA
114	5.250	FANCF
115	5.250	FGFR4
116	5.250	FLT1
117	5.250	FOXO1
118	5.250	MAP2K1
119	5.250	PPP2R1A
120	5.250	SHC1
121	5.250	XPA
122	5.250	XPC
123	5.000	BAI3
124	5.000	BARD1
125	5.000	BCL2
126	5.000	CARM1
127	5.000	CDK2
128	5.000	CERK
129	5.000	DGKZ
130	5.000	E2F1
131	5.000	EPHA3
132	5.000	EPO
133	5.000	ERBB4
134	5.000	FANCE
135	5.000	FH
136	5.000	FLT4
137	5.000	IRS1
138	5.000	MAPK1
139	5.000	NBN
140	5.000	PRKCZ
141	5.000	SMARCB1
142	5.000	TCF12
143	5.000	TPR
144	5.000	VEGFA
145	4.750	ABCC3
146	4.750	CD44
147	4.750	CDKN2D
148	4.750	CSF1R
149	4.750	DPYD
150	4.750	ESR2
151	4.750	EWSR1
152	4.750	FANCD2
153	4.750	FOS
154	4.750	LMO2
155	4.750	PARP1
156	4.750	PRKCA
157	4.750	SMAD2
158	4.750	SMAD3
159	4.750	TSC1
160	4.500	ADCY9
161	4.500	AGAP2
162	4.500	BAX
163	4.500	BCL11A
164	4.500	BCR
165	4.500	BIRC5
166	4.500	CCNE1
167	4.500	DGKB
168	4.500	EPHB4
169	4.500	ESR1
170	4.500	ETV1
171	4.500	GSK3B
172	4.500	HDAC2
173	4.500	HOXA9
174	4.500	MEN1
175	4.500	MYH9
176	4.500	NCOA2
177	4.500	PCNA
178	4.500	PML
179	4.500	PPARG
180	4.500	PPARGC1A
181	4.500	RARA
182	4.500	SKP2
183	4.500	SOCS1
184	4.500	SOS1
185	4.500	SRC
186	4.500	TEK
187	4.500	TOP2A
188	4.500	TPM3
189	4.250	ABCA1
190	4.250	AURKA
191	4.250	CCND3
192	4.250	CD40LG
193	4.250	CDX2
194	4.250	CEBPA
195	4.250	CYP19A1
196	4.250	DNMT3B
197	4.250	ERCC4
198	4.250	ETV4
199	4.250	FES
200	4.250	GAB1
201	4.250	HGF
202	4.250	IFNG
203	4.250	IGF2R
204	4.250	INSR
205	4.250	KLF6
206	4.250	MPL
207	4.250	MUTYH
208	4.250	MYCL1
209	4.250	NR3C1
210	4.250	PIK3C3
211	4.250	PIK3CD
212	4.250	PIK3R2
213	4.250	PPP1R3A
214	4.250	PPP2R1B
215	4.250	PTPRB
216	4.250	RECQL4
217	4.250	ROS1
218	4.250	RPS6KA2
219	4.250	SDHB
220	4.250	SP1
221	4.250	TP73
222	4.000	ANAPC5
223	4.000	ATR
224	4.000	BCL3
225	4.000	BIRC6
226	4.000	BRIP1
227	4.000	CBFA2T3
228	4.000	CDC73
229	4.000	CDK7
230	4.000	CLTC
231	4.000	CSMD3
232	4.000	CSNK1G2
233	4.000	CYP1B1
234	4.000	DDB2
235	4.000	DGKI
236	4.000	EPHA8
237	4.000	EPHB2
238	4.000	ERG
239	4.000	EXT2
240	4.000	FANCC
241	4.000	FANCG
242	4.000	FRAP1
243	4.000	GATA1
244	4.000	GMPS
245	4.000	GPC3
246	4.000	HDAC4
247	4.000	HIPK2
248	4.000	HMGA1
249	4.000	HOXD11
250	4.000	IGF1R
251	4.000	KALRN
252	4.000	LDHA
253	4.000	MAPK3
254	4.000	MAPK8IP2
255	4.000	MINPP1
256	4.000	MLL
257	4.000	MLL3
258	4.000	MST1R
259	4.000	MUC1
260	4.000	MYST4
261	4.000	NAV3
262	4.000	NOTCH2
263	4.000	NSD1
264	4.000	PAFAH1B2
265	4.000	PAK7
266	4.000	PARP2
267	4.000	PIGS
268	4.000	PPP1R13L
269	4.000	PPP2CB
270	4.000	PPP2R2B
271	4.000	PTCH2
272	4.000	PTK2
273	4.000	PTPRD
274	4.000	RAD51L1
275	4.000	RHEB
276	4.000	RHOA
277	4.000	RPS6KA1
278	4.000	RPS6KB1
279	4.000	RUNX1T1
280	4.000	SDHC
281	4.000	SDHD
282	4.000	SPEN
283	4.000	TFE3
284	4.000	TGFBR1
285	4.000	TLX1
286	4.000	TNK2
287	4.000	ZNF331
288	3.750	AXL
289	3.750	BIRC3
290	3.750	BMPR1A
291	3.750	CDC25A
292	3.750	CHN1
293	3.750	DDIT3
294	3.750	DGKG
295	3.750	EPHA2
296	3.750	FURIN
297	3.750	HDAC3
298	3.750	ICAM1
299	3.750	IL2
300	3.750	IL2RA
301	3.750	JAK3
302	3.750	MAP3K1
303	3.750	MAPK9
304	3.750	MYCN
305	3.750	NUP214
306	3.750	PGR
307	3.750	PPARA
308	3.750	PRKCG
309	3.750	PTPRC
310	3.750	PTPRF
311	3.750	RAF1
312	3.750	SMO
313	3.750	SUFU
314	3.750	TAL1
315	3.750	TGFB3
316	3.750	TK1
317	3.750	VDR
318	3.500	ABCG2
319	3.500	ACSL6
320	3.500	ADA
321	3.500	ADCY1
322	3.500	AKAP6
323	3.500	ARNT
324	3.500	BCAR1
325	3.500	BCL2L1
326	3.500	CIT
327	3.500	CXCR4
328	3.500	CYLD
329	3.500	DAB2
330	3.500	DGKD
331	3.500	DUSP26
332	3.500	EIF4E
333	3.500	GLI1
334	3.500	GNAI1
335	3.500	HDAC6
336	3.500	HMGA2
337	3.500	HSP90AB1
338	3.500	IMPA1
339	3.500	INPP4A
340	3.500	INPP5A
341	3.500	INPPL1
342	3.500	ITGAV
343	3.500	ITPK1
344	3.500	JUN
345	3.500	LCK
346	3.500	LCP1
347	3.500	MAPKBP1
348	3.500	MDC1
349	3.500	MIF
350	3.500	MMP9
351	3.500	MSN
352	3.500	MYST3
353	3.500	NOV
354	3.500	NPM1
355	3.500	NR0B1
356	3.500	NUP133
357	3.500	NUP98
358	3.500	PAK6
359	3.500	PHLPP
360	3.500	PI4KA
361	3.500	PIK3C2B
362	3.500	PIM1
363	3.500	PIP4K2C
364	3.500	PMS1
365	3.500	PRKAR1A
366	3.500	PRKCB
367	3.500	PRKCD
368	3.500	PTPN6
369	3.500	PTPRA
370	3.500	RPN1
371	3.500	SEPT5
372	3.500	SIRT1
373	3.500	SS18
374	3.500	STAT3
375	3.500	TAF1
376	3.500	TFRC
377	3.500	TOP1
378	3.500	TOPBP1
379	3.500	TSHR
380	3.500	UBE2C
381	3.500	USP7
382	3.500	ZBTB16
383	3.250	AKT3
384	3.250	ANAPC2
385	3.250	CASC5
386	3.250	CCR1
387	3.250	CDC2
388	3.250	CDC25C
389	3.250	CHIC2
390	3.250	CIITA
391	3.250	CSNK2A1
392	3.250	CYP1A2
393	3.250	DAPK1
394	3.250	DST
395	3.250	EDN1
396	3.250	ELL
397	3.250	EPHA5
398	3.250	ERN1
399	3.250	FADD
400	3.250	FASN
401	3.250	FGF2
402	3.250	GNRH1
403	3.250	HNF1A
404	3.250	HOXA11
405	3.250	HSPA4
406	3.250	IL3
407	3.250	LATS1
408	3.250	LIFR
409	3.250	LTK
410	3.250	MUSK
411	3.250	NCOA4
412	3.250	NKX2-1
413	3.250	NUDT1
414	3.250	PARK2
415	3.250	PGK1
416	3.250	PIP4K2A
417	3.250	PLAT
418	3.250	PLK1
419	3.250	PRKCI
420	3.250	PTK2B
421	3.250	PTPN1
422	3.250	RAC3
423	3.250	ROBO1
424	3.250	ROR1
425	3.250	RPL22
426	3.250	SSX4
427	3.250	STIL
428	3.250	SUV39H2
429	3.250	TRIP11
430	3.250	TYK2
431	3.250	VEGFC
432	3.000	ABL2
433	3.000	ADAMTS12
434	3.000	AHR
435	3.000	AKAP9
436	3.000	ALDH7A1
437	3.000	ANAPC4
438	3.000	ATIC
439	3.000	ATRX
440	3.000	BCL6
441	3.000	BCL9
442	3.000	BTG1
443	3.000	CALM1
444	3.000	CARS
445	3.000	CASP3
446	3.000	CCNB1IP1
447	3.000	CDC14A
448	3.000	CDK8
449	3.000	CIC
450	3.000	CLTCL1
451	3.000	COX6C
452	3.000	CPT1B
453	3.000	CRTC1
454	3.000	CYP17A1
455	3.000	CYP3A4
456	3.000	DDR1
457	3.000	DDR2
458	3.000	DGKE
459	3.000	DLL1
460	3.000	DUSP2
461	3.000	DUSP3
462	3.000	ELK1
463	3.000	EPHA7
464	3.000	ETV6
465	3.000	F8
466	3.000	FAM123B
467	3.000	FCGR2B
468	3.000	FLCN
469	3.000	FLI1
470	3.000	GPHN
471	3.000	GUCY2F
472	3.000	HDAC7
473	3.000	HERC2
474	3.000	HOXA13
475	3.000	HOXC13
476	3.000	HOXD13
477	3.000	HUWE1
478	3.000	IKBKAP
479	3.000	IL6
480	3.000	IL8
481	3.000	ILK
482	3.000	IMPA2
483	3.000	INPP1
484	3.000	INPP4B
485	3.000	INPP5B
486	3.000	INPP5E
487	3.000	INPP5J
488	3.000	ITPKA
489	3.000	ITPR2
490	3.000	KDSR
491	3.000	KIAA1303
492	3.000	MADD
493	3.000	MAFB
494	3.000	MALT1
495	3.000	MAML2
496	3.000	MAPK14
497	3.000	MAPK8
498	3.000	MARK4
499	3.000	MATK
500	3.000	MGA
501	3.000	MLLT4
502	3.000	MYB
503	3.000	NCOA3
504	3.000	NFKB1
505	3.000	NFKB2
506	3.000	NFKBIA
507	3.000	NRP1
